"","Generation","Treatment","Temp","pH","Rep","Beak","time","nx","lx","ni"
"24",0,1,18,8.2,1,2,14,10,0.4,25
"40",0,1,18,8.2,1,3,14,6,0.24,25
"120",0,1,18,8.2,3,2,14,13,0.52,25
"200",0,2,18,7.5,1,1,14,20,0.8,25
"248",0,2,18,7.5,2,1,14,15,0.6,25
"264",0,2,18,7.5,2,2,14,17,0.68,25
"280",0,2,18,7.5,2,3,14,16,0.64,25
"296",0,2,18,7.5,3,1,14,19,0.76,25
"312",0,2,18,7.5,3,2,14,17,0.68,25
"328",0,2,18,7.5,3,3,14,16,0.64,25
"344",0,2,18,7.5,4,1,14,17,0.68,25
"360",0,2,18,7.5,4,2,14,10,0.4,25
"776",3,1,18,8.2,1,1,14,16,0.64,25
"792",3,1,18,8.2,1,2,14,0,0,25
"808",3,1,18,8.2,1,3,14,0,0,25
"824",3,1,18,8.2,2,1,14,22,0.88,25
"840",3,1,18,8.2,2,2,14,23,0.92,25
"872",3,1,18,8.2,3,1,14,24,0.96,25
"888",3,1,18,8.2,3,2,14,0,0,25
"920",3,1,18,8.2,4,1,14,23,0.92,25
"936",3,1,18,8.2,4,2,14,19,0.76,25
"984",3,2,18,7.5,1,2,14,20,0.8,25
"1000",3,2,18,7.5,1,3,14,19,0.76,25
"1016",3,2,18,7.5,2,1,14,20,0.8,25
"1032",3,2,18,7.5,2,2,14,24,0.96,25
"1048",3,2,18,7.5,2,3,14,24,0.96,25
"1064",3,2,18,7.5,3,1,14,20,0.8,25
"1080",3,2,18,7.5,3,2,14,20,0.8,25
"1096",3,2,18,7.5,3,3,14,25,1,25
"1112",3,2,18,7.5,4,1,14,22,0.88,25
"1128",3,2,18,7.5,4,2,14,21,0.84,25
"1144",3,2,18,7.5,4,3,14,25,1,25
"1544",6,1,18,8.2,1,1,14,0,0,25
"1560",6,1,18,8.2,1,2,14,0,0,25
"1576",6,1,18,8.2,1,3,14,21,0.84,25
"1592",6,1,18,8.2,2,1,14,17,0.68,25
"1608",6,1,18,8.2,2,2,14,25,1,25
"1624",6,1,18,8.2,2,3,14,24,0.96,25
"1640",6,1,18,8.2,3,1,14,24,0.96,25
"1656",6,1,18,8.2,3,2,14,23,0.92,25
"1672",6,1,18,8.2,3,3,14,0,0,25
"1688",6,1,18,8.2,4,1,14,0,0,25
"1704",6,1,18,8.2,4,2,14,17,0.68,25
"1736",6,2,18,7.5,1,1,14,0,0,25
"1752",6,2,18,7.5,1,2,14,13,0.52,25
"1768",6,2,18,7.5,1,3,14,25,1,25
"1784",6,2,18,7.5,2,1,14,22,0.88,25
"1800",6,2,18,7.5,2,2,14,24,0.96,25
"1816",6,2,18,7.5,2,3,14,19,0.76,25
"1880",6,2,18,7.5,4,1,14,25,1,25
"1896",6,2,18,7.5,4,2,14,14,0.56,25
"1912",6,2,18,7.5,4,3,14,25,1,25
"2312",9,1,18,8.2,1,1,14,20,0.740740741,25
"2328",9,1,18,8.2,1,2,14,24,0.96,25
"2360",9,1,18,8.2,2,1,14,15,0.6,25
"2392",9,1,18,8.2,2,3,14,23,0.92,25
"2456",9,1,18,8.2,4,1,14,23,0.92,25
"2504",9,2,18,7.5,1,1,14,20,0.8,25
"2520",9,2,18,7.5,1,2,14,17,0.68,25
"2536",9,2,18,7.5,1,3,14,18,0.72,25
"2552",9,2,18,7.5,2,1,14,24,0.96,25
"2568",9,2,18,7.5,2,2,14,17,0.68,25
"2584",9,2,18,7.5,2,3,14,24,0.96,25
"2600",9,2,18,7.5,3,1,14,22,0.88,25
"2616",9,2,18,7.5,3,2,14,16,0.64,25
"2632",9,2,18,7.5,3,3,14,25,1,25
"2648",9,2,18,7.5,4,1,14,20,0.8,25
"2664",9,2,18,7.5,4,2,14,25,1,25
"2680",9,2,18,7.5,4,3,14,12,0.48,25
"3240",12,1,18,8.2,4,2,14,18,0.72,25
"3656",15,1,18,8.2,1,1,14,24,0.96,25
"3672",15,1,18,8.2,1,2,14,0,0,25
"3688",15,1,18,8.2,1,3,14,0,0,25
"3704",15,1,18,8.2,2,1,14,24,0.96,25
"3720",15,1,18,8.2,2,2,14,20,0.8,25
"3736",15,1,18,8.2,2,3,14,14,0.56,25
"3768",15,1,18,8.2,3,2,14,18,0.72,25
"3784",15,1,18,8.2,3,3,14,13,0.52,25
"3800",15,1,18,8.2,4,1,14,17,0.68,25
"3816",15,1,18,8.2,4,2,14,23,0.92,25
"3848",15,2,18,7.5,1,1,14,19,0.76,25
"3864",15,2,18,7.5,1,2,14,0,0,25
"3880",15,2,18,7.5,1,3,14,24,0.96,25
"3896",15,2,18,7.5,2,1,14,24,0.96,25
"3912",15,2,18,7.5,2,2,14,15,0.6,25
"3928",15,2,18,7.5,2,3,14,22,0.88,25
"3944",15,2,18,7.5,3,1,14,25,1,25
"3960",15,2,18,7.5,3,2,14,15,0.6,25
"3992",15,2,18,7.5,4,1,14,23,0.92,25
"4008",15,2,18,7.5,4,2,14,19,0.76,25
"4024",15,2,18,7.5,4,3,14,19,0.76,25
